model,scope,elo_bucket_start,elo_bucket_label,position_count,covered_positions,coverage,mean_rank,median_rank,mean_rank_found_only,median_rank_found_only,mean_rank_topk_clipped,median_rank_topk_clipped,hit_at_1,hit_at_3,hit_at_5,topk_size
maia,all_eligible,1000,1000-1099,125,125,1.0,3.504,2.0,3.504,2.0,3.504,2.0,0.448,0.672,0.8,
maia,all_eligible,1100,1100-1199,183,179,0.9781,2.8715,2.0,2.8715,2.0,2.8715,2.0,0.4754,0.776,0.8579,
maia,all_eligible,1200,1200-1299,142,141,0.993,2.9291,1.0,2.9291,1.0,2.9291,1.0,0.5,0.7817,0.8451,
maia,all_eligible,1300,1300-1399,227,218,0.9604,2.7018,1.0,2.7018,1.0,2.7018,1.0,0.5022,0.7885,0.8678,
maia,all_eligible,1400,1400-1499,167,165,0.988,2.9879,2.0,2.9879,2.0,2.9879,2.0,0.491,0.7485,0.8503,
maia,all_eligible,1500,1500-1599,394,392,0.9949,2.5969,2.0,2.5969,2.0,2.5969,2.0,0.4772,0.7944,0.901,
maia,all_eligible,1600,1600-1699,309,305,0.9871,2.8197,1.0,2.8197,1.0,2.8197,1.0,0.4951,0.7799,0.877,
maia,all_eligible,1700,1700-1799,361,358,0.9917,2.8575,2.0,2.8575,2.0,2.8575,2.0,0.4765,0.7645,0.867,
maia,all_eligible,1800,1800-1899,331,326,0.9849,2.4969,1.0,2.4969,1.0,2.4969,1.0,0.5227,0.8036,0.8792,
maia,all_eligible,1900,1900-1999,245,243,0.9918,2.7243,1.0,2.7243,1.0,2.7243,1.0,0.502,0.7796,0.8816,
maia,all_eligible,2000,2000-2099,294,293,0.9966,2.4232,1.0,2.4232,1.0,2.4232,1.0,0.5272,0.8061,0.9184,
maia,all_eligible,2100,2100-2199,98,97,0.9898,2.4021,1.0,2.4021,1.0,2.4021,1.0,0.5612,0.8469,0.9286,
maia,all_eligible,2200,2200-2299,123,123,1.0,2.5528,1.0,2.5528,1.0,2.5528,1.0,0.5447,0.7561,0.9268,
maia,all_eligible,2300,2300-2399,58,58,1.0,1.9655,1.0,1.9655,1.0,1.9655,1.0,0.5345,0.931,0.9483,
maia,all_eligible,2400,2400-2499,21,21,1.0,2.5714,1.0,2.5714,1.0,2.5714,1.0,0.5238,0.7619,0.8095,
maia,all_eligible,2500,2500-2599,5,5,1.0,4.2,2.0,4.2,2.0,4.2,2.0,0.4,0.6,0.8,
maia,all_eligible,2600,2600-2699,6,6,1.0,2.8333,2.0,2.8333,2.0,2.8333,2.0,0.5,0.6667,0.8333,
maia,all_eligible,2700,2700-2799,21,21,1.0,2.4286,2.0,2.4286,2.0,2.4286,2.0,0.4762,0.7619,0.9524,
maia,all_eligible,2800,2800-2899,21,21,1.0,3.6667,2.0,3.6667,2.0,3.6667,2.0,0.381,0.619,0.8571,
maia,high_complexity,1000,1000-1099,106,106,1.0,3.3113,2.0,3.3113,2.0,3.3113,2.0,0.4434,0.6887,0.8113,
maia,high_complexity,1100,1100-1199,145,145,1.0,2.7517,2.0,2.7517,2.0,2.7517,2.0,0.4759,0.8069,0.8966,
maia,high_complexity,1200,1200-1299,115,115,1.0,3.1652,2.0,3.1652,2.0,3.1652,2.0,0.4522,0.7652,0.8348,
maia,high_complexity,1300,1300-1399,181,181,1.0,2.9282,2.0,2.9282,2.0,2.9282,2.0,0.4696,0.8122,0.8895,
maia,high_complexity,1400,1400-1499,139,139,1.0,3.2014,2.0,3.2014,2.0,3.2014,2.0,0.4676,0.7338,0.8489,
maia,high_complexity,1500,1500-1599,335,335,1.0,2.7015,2.0,2.7015,2.0,2.7015,2.0,0.4358,0.791,0.9015,
maia,high_complexity,1600,1600-1699,264,264,1.0,2.9167,2.0,2.9167,2.0,2.9167,2.0,0.4659,0.7841,0.8902,
maia,high_complexity,1700,1700-1799,302,302,1.0,3.0099,2.0,3.0099,2.0,3.0099,2.0,0.4305,0.7483,0.8675,
maia,high_complexity,1800,1800-1899,267,267,1.0,2.6667,2.0,2.6667,2.0,2.6667,2.0,0.4757,0.7903,0.8839,
maia,high_complexity,1900,1900-1999,192,192,1.0,3.0208,2.0,3.0208,2.0,3.0208,2.0,0.4427,0.7448,0.8698,
maia,high_complexity,2000,2000-2099,232,232,1.0,2.6422,2.0,2.6422,2.0,2.6422,2.0,0.4698,0.7802,0.9052,
maia,high_complexity,2100,2100-2199,77,77,1.0,2.5974,1.0,2.5974,1.0,2.5974,1.0,0.5584,0.8312,0.9221,
maia,high_complexity,2200,2200-2299,104,104,1.0,2.5769,1.0,2.5769,1.0,2.5769,1.0,0.5288,0.75,0.9327,
maia,high_complexity,2300,2300-2399,43,43,1.0,2.1628,2.0,2.1628,2.0,2.1628,2.0,0.3953,0.9302,0.9535,
maia,high_complexity,2400,2400-2499,18,18,1.0,2.4444,1.0,2.4444,1.0,2.4444,1.0,0.6111,0.7778,0.8333,
maia,high_complexity,2500,2500-2599,3,3,1.0,5.3333,2.0,5.3333,2.0,5.3333,2.0,0.3333,0.6667,0.6667,
maia,high_complexity,2600,2600-2699,5,5,1.0,3.2,3.0,3.2,3.0,3.2,3.0,0.4,0.6,0.8,
maia,high_complexity,2700,2700-2799,19,19,1.0,2.5789,2.0,2.5789,2.0,2.5789,2.0,0.4211,0.7368,0.9474,
maia,high_complexity,2800,2800-2899,17,17,1.0,2.4118,2.0,2.4118,2.0,2.4118,2.0,0.4706,0.7059,0.8824,
stockfish,all_eligible,1000,1000-1099,125,115,0.92,6.456,3.0,5.1913,3.0,6.456,3.0,0.28,0.52,0.6,20
stockfish,all_eligible,1100,1100-1199,183,168,0.918,5.4208,2.0,4.0298,2.0,5.4208,2.0,0.3607,0.6066,0.6995,20
stockfish,all_eligible,1200,1200-1299,142,130,0.9155,5.8169,3.0,4.4154,2.0,5.8169,3.0,0.3592,0.5915,0.6901,20
stockfish,all_eligible,1300,1300-1399,227,216,0.9515,4.6211,2.0,3.787,2.0,4.6211,2.0,0.3789,0.674,0.7621,20
stockfish,all_eligible,1400,1400-1499,167,159,0.9521,5.3713,3.0,4.5849,3.0,5.3713,3.0,0.3114,0.5509,0.6886,20
stockfish,all_eligible,1500,1500-1599,394,376,0.9543,5.0558,2.0,4.2926,2.0,5.0558,2.0,0.3096,0.6091,0.7081,20
stockfish,all_eligible,1600,1600-1699,309,298,0.9644,4.8803,2.0,4.2852,2.0,4.8803,2.0,0.3883,0.6214,0.7346,20
stockfish,all_eligible,1700,1700-1799,361,338,0.9363,5.3518,3.0,4.287,2.0,5.3518,3.0,0.3546,0.6122,0.7119,20
stockfish,all_eligible,1800,1800-1899,331,311,0.9396,5.1782,2.0,4.1608,2.0,5.1782,2.0,0.3927,0.6344,0.7372,20
stockfish,all_eligible,1900,1900-1999,245,225,0.9184,5.3837,2.0,3.9956,2.0,5.3837,2.0,0.3918,0.6041,0.7143,20
stockfish,all_eligible,2000,2000-2099,294,283,0.9626,4.5136,2.0,3.8728,2.0,4.5136,2.0,0.381,0.6667,0.7619,20
stockfish,all_eligible,2100,2100-2199,98,96,0.9796,3.898,2.0,3.5417,2.0,3.898,2.0,0.4184,0.7143,0.7959,20
stockfish,all_eligible,2200,2200-2299,123,117,0.9512,4.6829,2.0,3.8462,2.0,4.6829,2.0,0.3821,0.6341,0.7398,20
stockfish,all_eligible,2300,2300-2399,58,58,1.0,3.569,2.0,3.569,2.0,3.569,2.0,0.4655,0.7241,0.7759,20
stockfish,all_eligible,2400,2400-2499,21,21,1.0,3.7619,2.0,3.7619,2.0,3.7619,2.0,0.3333,0.7619,0.8571,20
stockfish,all_eligible,2500,2500-2599,5,5,1.0,2,1.0,2,1.0,2,1.0,0.6,0.8,1.0,20
stockfish,all_eligible,2600,2600-2699,6,6,1.0,1.8333,1.5,1.8333,1.5,1.8333,1.5,0.5,1.0,1.0,20
stockfish,all_eligible,2700,2700-2799,21,21,1.0,2.4762,2.0,2.4762,2.0,2.4762,2.0,0.4286,0.7619,0.9048,20
stockfish,all_eligible,2800,2800-2899,21,21,1.0,5.0952,4.0,5.0952,4.0,5.0952,4.0,0.3333,0.4286,0.6667,20
stockfish,high_complexity,1000,1000-1099,106,98,0.9245,6.3868,3.0,5.1939,3.0,6.3868,3.0,0.2547,0.5094,0.5943,20
stockfish,high_complexity,1100,1100-1199,145,132,0.9103,5.5034,2.0,3.9773,2.0,5.5034,2.0,0.3379,0.6138,0.7103,20
stockfish,high_complexity,1200,1200-1299,115,104,0.9043,6.3304,3.0,4.7788,3.0,6.3304,3.0,0.287,0.5391,0.6522,20
stockfish,high_complexity,1300,1300-1399,181,171,0.9448,5.1602,2.0,4.2339,2.0,5.1602,2.0,0.3481,0.6243,0.7238,20
stockfish,high_complexity,1400,1400-1499,139,132,0.9496,5.6619,3.0,4.8485,3.0,5.6619,3.0,0.2806,0.5396,0.6763,20
stockfish,high_complexity,1500,1500-1599,335,317,0.9463,5.3194,3.0,4.429,2.0,5.3194,3.0,0.2687,0.5881,0.6896,20
stockfish,high_complexity,1600,1600-1699,264,254,0.9621,5.1326,2.0,4.5079,2.0,5.1326,2.0,0.3409,0.5909,0.7159,20
stockfish,high_complexity,1700,1700-1799,302,280,0.9272,5.8444,3.0,4.6536,3.0,5.8444,3.0,0.3113,0.5662,0.6788,20
stockfish,high_complexity,1800,1800-1899,267,249,0.9326,5.8614,3.0,4.7671,2.0,5.8614,3.0,0.3221,0.5768,0.6891,20
stockfish,high_complexity,1900,1900-1999,192,174,0.9062,5.9479,3.0,4.3908,2.0,5.9479,3.0,0.3125,0.5625,0.6875,20
stockfish,high_complexity,2000,2000-2099,232,223,0.9612,5,3.0,4.3543,2.0,5,3.0,0.306,0.6164,0.7198,20
stockfish,high_complexity,2100,2100-2199,77,75,0.974,4.0519,2.0,3.6,2.0,4.0519,2.0,0.4026,0.7013,0.7792,20
stockfish,high_complexity,2200,2200-2299,104,99,0.9519,4.8558,2.0,4.0404,2.0,4.8558,2.0,0.3269,0.625,0.7212,20
stockfish,high_complexity,2300,2300-2399,43,43,1.0,4.2093,2.0,4.2093,2.0,4.2093,2.0,0.3488,0.6512,0.7209,20
stockfish,high_complexity,2400,2400-2499,18,18,1.0,4,2.0,4,2.0,4,2.0,0.3889,0.7222,0.8333,20
stockfish,high_complexity,2500,2500-2599,3,3,1.0,2.3333,1.0,2.3333,1.0,2.3333,1.0,0.6667,0.6667,1.0,20
stockfish,high_complexity,2600,2600-2699,5,5,1.0,1.6,1.0,1.6,1.0,1.6,1.0,0.6,1.0,1.0,20
stockfish,high_complexity,2700,2700-2799,19,19,1.0,2.5263,2.0,2.5263,2.0,2.5263,2.0,0.4211,0.7368,0.8947,20
stockfish,high_complexity,2800,2800-2899,17,17,1.0,3.4706,3.0,3.4706,3.0,3.4706,3.0,0.4118,0.5294,0.7647,20
